Position_X,Position_Y,Time (s),Vinkel,Vinkel_hastighet
818,569,1.1368160247802734,20.88199746524562,-45.330523435658044
905,508,1.170638084411621,31.892795851495563,325.55079454843985
891,514,1.2026779651641846,30.28713818109365,-50.114346017765605
891,484,1.2373549938201904,31.98164350382232,48.865355204970584
867,506,1.2684972286224365,28.442928624363358,-113.63073016210565
859,511,1.3028900623321533,27.40394751535678,-30.20923247487574
856,515,1.336061954498291,26.90901827685945,-14.920138894053245
750,583,1.3693711757659912,13.706961004079812,-396.34842155801505
749,587,1.403670072555542,13.507838875272961,-5.8054966032468265
746,591,1.4358599185943604,13.110584342732214,-12.340988896364735
842,519,1.4693529605865479,25.33041947167386,364.8469772256582
827,523,1.5030241012573242,23.635731925985432,-50.33056534254183
822,531,1.5356228351593018,22.780380572151074,-26.238790635438445
797,513,1.5700960159301758,20.9213262320101,-53.927554654651075
779,512,1.6018240451812744,18.991201050002683,-60.8334405749636
804,493,1.6365370750427246,22.555549635638737,102.680422880469
755,484,1.6693570613861084,17.27882349882544,-160.77782853425953
774,487,1.703361988067627,19.412597607951874,62.74896955699441
737,498,1.736785888671875,14.636491591237709,-142.89493237982944
737,480,1.768543004989624,15.221289276062056,18.414697322423564
720,477,1.8037030696868896,13.18067318984343,-58.03789338241242
700,476,1.8348829746246338,10.635895576035727,-81.61595164862672
667,487,1.8698711395263672,6.138649634151704,-128.536205157225
670,471,1.904019832611084,6.772998727341899,18.57608698571535
655,471,1.9350299835205078,4.752378514241959,-65.1599606529449
635,469,1.970170021057129,2.0502859707442567,-76.8949817051767
619,467,2.002236843109131,-0.13739968748508555,-68.22271488835494
605,466,2.0369179248809814,-2.0650589312318837,-55.582442797716055
587,465,2.067502975463867,-4.54648338271797,-81.13193878039877
577,462,2.10410213470459,-5.958327368664818,-38.57585844146762
554,460,2.1364619731903076,-9.14477165378429,-98.46910350080483
535,455,2.1700470447540283,-11.853004167744011,-80.63798550559622
520,452,2.2013471126556396,-13.96915242187718,-67.6084237511903
501,447,2.2368218898773193,-16.686002778367776,-76.58540995234914
480,439,2.269658088684082,-19.793660534829435,-94.64121516469895
467,431,2.302276134490967,-21.879151337575276,-63.93671819253047
450,423,2.335510015487671,-24.501794231305205,-78.91473445397554
444,414,2.3687009811401367,-25.80453239994713,-39.249782072705194
429,403,2.4018030166625977,-28.41677811065518,-78.91495702539333
359,390,2.435183048248291,-37.51154077362976,-272.46117606648954
388,378,2.46807599067688,-35.27242144859839,68.07294087151189
370,370,2.5034470558166504,-37.99873244250466,-77.07743555737217
361,361,2.5373921394348145,-39.78744525309984,-52.694311515498406
312,372,2.5677950382232666,-43.72696997994329,-129.57727334670437
314,355,2.6040549278259277,-45.09377369616126,-37.694646376354534
296,356,2.6372039318084717,-46.63657704161672,-46.5414691273346
290,346,2.668710231781006,-48.10885679630127,-46.729693933213966
281,339,2.704011917114258,-49.55216336999242,-40.88491980102858
277,331,2.7347781658172607,-50.67422641466951,-36.4705835771123
262,336,2.7688050270080566,-51.37924816761314,-20.71956472830161
266,320,2.803956985473633,-52.66680426181418,-36.628289017293945
257,319,2.8364109992980957,-53.45982210246338,-24.43512364721572
251,314,2.8684568405151367,-54.41828241691916,-29.90903899087237
244,311,2.9007320404052734,-55.2335929452365,-25.261207710335473
246,306,2.936556100845337,-55.6086727615277,-10.470053134226264
242,303,2.9678361415863037,-56.205123238157285,-19.0680850312457
277,283,3.003722906112671,-55.81172086140658,10.962325022688
226,298,3.035433053970337,-57.81198059055495,-63.079482887520086
168,314,3.0707058906555176,-59.712047009334,-53.867695295891274
215,293,3.1017839908599854,-59.03624346792648,21.745329893439397
159,311,3.1354448795318604,-60.483173750567246,-42.98550453451728
255,264,3.167527914047241,-59.61684559944383,27.0026873769716
209,278,3.2035839557647705,-60.98091714839493,-37.831982768311875
253,262,3.2366819381713867,-59.9868348949365,30.03452721818219
250,259,3.2680041790008545,-60.5394211717296,-17.64197778190986
245,258,3.303679943084717,-60.98432847444143,-12.470855611277123
146,295,3.334306001663208,-62.66656867717708,-54.92839368880108
246,252,3.367147922515869,-61.626209500429944,31.677781010876515
246,253,3.4036619663238525,-61.50774226211417,3.244429429365795
147,288,3.4354050159454346,-63.28977401658899,-56.13927381643957
251,256,3.46989107131958,-60.8268803228549,71.41708922675302
201,271,3.5027928352355957,-62.19076016769121,-41.453091947219725
170,283,3.5365419387817383,-62.62588303330816,-12.892871806862768
157,303,3.5702462196350098,-61.346206671511375,37.96776935748141
218,285,3.603965997695923,-59.69042099406846,49.10428753272991
183,302,3.6355040073394775,-60.029712324209065,-10.758171932068763
187,315,3.6699371337890625,-58.532982671698946,43.46772445138103
227,316,3.703263998031616,-55.90809841128229,78.7618133321121
189,339,3.735708236694336,-56.15681744697553,-7.666046298045326
306,322,3.770148992538452,-49.099513403401886,204.9114158677589
186,369,3.802738904953003,-53.68325645145579,-140.64913675580635
308,356,3.837231159210205,-45.55625222708068,235.61823949729688
309,364,3.8684449195861816,-44.72498237045962,26.631519131569817
287,374,3.9000461101531982,-45.7848246029919,-33.538047570855596
329,374,3.9341659545898438,-41.928537882929604,113.02181424721127
309,375,3.96818208694458,-43.73897580071744,-53.222920786752994
316,377,4.001116037368774,-42.91248846438836,25.095299096640293
338,378,4.036485195159912,-40.68749685606111,62.90767853354874
351,377,4.068799018859863,-39.44173825369387,38.55187841385424
368,377,4.1036951541900635,-37.61936364115917,52.22282052985858
381,374,4.136918067932129,-36.414501139254554,36.266009395168396
403,375,4.168684005737305,-33.73073166359014,84.48576245802298
419,382,4.20197606086731,-31.191621886449514,76.26773917156657
