Position_X,Position_Y,Time (s),Vinkel,Vinkel_hastighet
357,306,0.00826120376586914,-45.772728592296396,0
357,307,0.0417170524597168,-45.661075811585434,3.337317242575116
357,308,0.075836181640625,-45.54984664692776,3.260023550657087
356,309,0.10881710052490234,-45.54774411124121,0.0637500639060705
356,308,0.141679048538208,-45.6585431775636,-3.3716524132267183
356,308,0.17487406730651855,-45.6585431775636,0.0
357,311,0.21085596084594727,-45.218685119422986,12.22442775721688
356,314,0.243880033493042,-45.0,6.621991229244242
359,317,0.27787113189697266,-44.34893961977052,19.15384941353333
361,323,0.31208300590515137,-43.49256424122503,25.03152497114776
372,335,0.3772130012512207,-41.028989907113775,37.82549531933809
382,342,0.41086506843566895,-39.18239208310723,54.873235985334034
393,348,0.442202091217041,-37.29815497370459,60.12814690624354
407,353,0.4755399227142334,-35.106079330264585,65.75339621668604
421,358,0.510667085647583,-32.86665991231283,63.751787247972175
438,361,0.5441820621490479,-30.336555061089584,75.4917686161188
456,363,0.5772600173950195,-27.65281501746207,81.13379511130287
475,364,0.6102011203765869,-24.786710798786334,87.00692931501118
494,363,0.643470048904419,-21.927541983778067,85.94111507427574
513,362,0.6773359775543213,-18.929339252120123,88.53153748277887
533,358,0.710766077041626,-15.773263175626035,94.40821669383993
553,355,0.7431480884552002,-12.389499037300995,104.4951808307559
572,349,0.7759289741516113,-9.120169068632213,99.73281377893672
593,342,0.8108019828796387,-5.282875548676175,110.0362045008183
616,334,0.8434369564056396,-0.8069294551026209,137.15182241552833
639,325,0.8773350715637207,3.95233658211572,140.39913473135297
661,313,0.9118010997772217,8.860720937830179,142.4122421449117
683,301,0.9435200691223145,14.089941464869034,164.86098492503083
704,288,0.976337194442749,19.44003482817619,163.0274837014978
723,276,1.0108239650726318,24.501231448621024,146.75762699738843
741,264,1.0453131198883057,29.484710524271204,144.49409103482597
769,241,1.1108810901641846,37.9579608262706,129.22849779165008
779,230,1.142747163772583,41.455233544405125,109.74909432245848
791,221,1.1779289245605469,45.0,100.75580005670396
809,204,1.2439630031585693,50.826342029555775,88.23235143513092
816,197,1.2764332294464111,53.13010235415599,70.94993130561691
