Position_X,Position_Y,Time (s),Vinkel,Vinkel_hastighet
1083,902,0.048935890197753906,6.110581248469941,0
926,904,0.10476398468017578,-4.786658975623583,-195.1927667444327
778,878,0.16330790519714355,-15.212582868620505,-178.0872172709236
649,831,0.22983574867248535,-24.736423940202886,-143.1557160741629
549,775,0.2976820468902588,-32.68936964812095,-117.22003877633315
478,724,0.3667869567871094,-38.75732366969414,-87.80785664333425
440,689,0.4327869415283203,-42.343852796042896,-54.34136296260837
426,677,0.5109119415283203,-43.62437945233226,-16.390741200503907
439,688,0.5662798881530762,-42.442095449807816,21.35322103485467
476,722,0.6310977935791016,-38.952462925574906,53.837477488616415
547,773,0.7106137275695801,-32.88123966527481,76.3522850781968
648,829,0.7660098075866699,-24.857552581693056,144.84214552918593
776,878,0.8332428932189941,-15.346208895809175,141.4682012052565
923,903,0.8987648487091064,-4.999780980961517,157.90780109438285
1076,902,0.9664888381958008,5.627765902803382,156.92440690979794
1220,875,1.041548728942871,15.802513953935518,135.5550607636512
1342,828,1.100024938583374,24.886761885250422,155.3494658282844
1437,776,1.1647639274597168,32.41789390667503,116.3307019794477
1503,729,1.2317368984222412,38.0518030967699,84.12213328937423
1541,697,1.3115148544311523,41.50648509978362,43.30371666363363
1552,688,1.364469051361084,42.49337316670916,18.636635510333264
1537,701,1.4427719116210938,41.11399487085303,-17.615937543990338
1495,736,1.5005970001220703,37.31447285161839,-65.70715441569051
1423,786,1.5679378509521484,31.225596659658315,-90.41875944401416
1321,839,1.634932041168213,23.244128399078797,-119.13672267458278
1193,883,1.7101938724517822,13.851419013804973,-124.80043635776343
1048,905,1.7664809226989746,3.675768586557986,-180.78137657879046
898,901,1.8358159065246582,-6.738179004342241,-150.19759169602074
758,872,1.8965888023376465,-16.659414014818424,-163.25098348128793
639,826,1.9620640277862549,-25.511026964533443,-135.19026302036428
549,775,2.0334160327911377,-32.68936964812095,-100.6046386937028
486,730,2.1050498485565186,-38.06367617670516,-75.02471383328846
453,702,2.167127847671509,-41.06832851997776,-48.40124337298522
447,695,2.23415470123291,-41.70285570099419,-9.466760668321667
464,711,2.310525894165039,-40.081328808551476,21.232179702676213
510,747,2.365827798843384,-36.02226544364321,73.3982561453752
586,796,2.4332430362701416,-29.736262798283835,93.24305431971068
690,848,2.5045278072357178,-21.659779758046007,113.29885655574328
819,887,2.5663540363311768,-12.3030868302355,151.3385672181928
964,906,2.632704734802246,-2.14931712489671,153.0318435120333
1109,898,2.710707902908325,7.933884698262031,129.26656785845236
1244,868,2.7659270763397217,17.536007298576354,173.89109621939315
1356,822,2.832192897796631,25.943983042283794,126.8825400312122
1442,774,2.9032320976257324,32.78526988367462,96.30298282988629
